School,Mascot,Arena,Hex,Hex2,Lat,Lon,Furthest_Round,Capacity,Avg_Attendance
Morehead State,Eagles,Ellis Johnson Arena,#094FA3,#fed91a,38.191,-83.4339,362,6500,1293
Villanova,Wildcats,Finneran Pavilion,#00205b,#13b5ea,40.0358,-75.3402,362,6500,7886
South Dakota State,Jackrabbits,First Bank and Trust Arena,#0033a0,#ffd100,44.3444,-96.7982,362,6500,2808
Eastern Kentucky,Colonels,Baptist Health Arena,#660819,#f0f0f0,37.7342,-84.3012,362,6500,1434
UMass Lowell,River Hawks,Tsongas Center,#00529C,#cf1f2f,42.6502,-71.3133,362,6496,640
Drake,Bulldogs,Knapp Center,#005596,#bec0c2,41.6048,-93.6523,362,6424,3429
Kent State,Golden Flashes,Memorial Athletic and Convocation Center,#002664,#eaab00,41.1482,-81.344,362,6327,2498
Youngstown State,Penguins,Beeghly Center,#E51935,#690717,41.1082,-80.649,362,6300,2035
Pacific,Tigers,Alex G. Spanos Center,#F47820,#c2c3c0,37.9767,-121.3151,362,6150,1461
East Tennessee State,Buccaneers,Freedom Hall Civic Center,#002d61,#ffc423,36.3024,-82.3693,362,6149,543
Winthrop,Eagles,Winthrop Coliseum,#9e0b0e,#fdb41e,34.9481,-81.0149,362,6100,1572
Sam Houston,Bearkats,Bernard Johnson Coliseum,#f56423,#ffffff,30.7129,-95.5462,362,6100,1330
Eastern Washington,Eagles,Reese Court,#a10022,#abb4bc,47.4914,-117.5894,362,6000,1689
South Dakota,Coyotes,Sanford Coyote Sports Center,#CD1241,#f0f0f0,42.7901,-96.9279,362,6000,1537
The Citadel,Bulldogs,McAlister Field House,#7badd3,#002856,32.7986,-79.9625,362,6000,1328
Northeastern,Huskies,Matthews Arena,#CC0001,#c2c3c0,42.3351,-71.0893,362,6000,1079
Central Arkansas,Bears,Farris Center,#a7a9ac,#8e959a,35.0818,-92.4596,362,6000,1103
Gonzaga,Bulldogs,McCarthey Athletic Center,#041e42,#c8102e,47.6654,-117.3991,362,6000,6339
Alabama A&M,Bulldogs,Alabama A&M Events Center,#790000,#ffffff,34.7843,-86.5701,362,6000,2343
West Georgia,Bulldogs,The Coliseum,#0033a1,#db1a21,33.5759,-85.1039,362,5953,8821
North Florida,Ospreys,UNF Arena,#004B8D,#babcbe,30.269,-81.5097,362,5800,1451
Maine,Black Bears,Cross Insurance Center,#127dbe,##127dbe,44.7892,-68.7792,362,5800,1178
Navy,Midshipmen,Alumni Hall,#00225b,#b5a67c,38.9786,-76.4928,362,5710,1643
North Carolina A&T,Aggies,Corbett Sports Center,#0505aa,#004684,36.0684,-79.8106,362,5700,1925
Lehigh,Mountain Hawks,Stabler Arena,#6c2b2a,#b69e70,40.5853,-75.3574,362,5600,1073
Little Rock,Trojans,Jack Stephens Center,#AD0000,#898d8f,34.7285,-92.3405,362,5600,1537
UC Santa Barbara,Gauchos,UC Santa Barbara Events Center,#1e1840,#febc11,34.4138,-119.8513,362,5600,2653
Air Force,Falcons,Clune Arena,#003594,#ffffff,38.9788,-104.8644,362,5508,1383
Maryland Eastern Shore,Hawks,Hytche Athletic Center,#5c2301,#b5b7ba,38.2028,-75.692,362,5500,1384
